UNIQUE_ID,COMID,type,TERMCODE,TERMNAME_HUC10,TERMNAME_HUC8,TERMNAME_HUC6,TERMNAME_HUC4,TERMNAME_HUC2,damName,latitude,longitude
92005690,92005690,outlet,NICN910000000,Central Prince Edward Island - Wilmot,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.51035073,-63.49117942
92005710,92005710,outlet,NICN910000000,Central Prince Edward Island - Wilmot,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.50956345,-63.48893738
92005800,92005800,outlet,NICN910000000,Central Prince Edward Island - Wilmot,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.50192642,-63.85453033
92005830,92005830,outlet,NICN910000000,Margaree,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.52519363,-60.98430004
92005890,92005890,outlet,NICN910000000,Indian,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.51612644,-60.53901966
92005920,92005920,outlet,NICN910000000,Richibucto,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.4707434,-64.71300745
92005960,92005960,outlet,NICN910000000,Richibucto,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.468647,-64.71216583
92005970,92005970,outlet,NICN910000000,Western Prince Edward Island,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.46857071,-64.10821533
92006010,92006010,outlet,NICN910000000,Western Prince Edward Island,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.46627881,-64.10879692
92006030,92006030,outlet,NICN910000000,Northeastern Prince Edward Island,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.46531442,-62.07525072
92006050,92006050,outlet,NICN910000000,Northeastern Prince Edward Island,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.46491241,-62.07877731
92006220,92006220,outlet,NICN910000000,Richibucto,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.45318985,-64.6960144
92006240,92006240,outlet,NICN910000000,Richibucto,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.45222917,-64.69249952
92006270,92006270,outlet,NICN910000000,Central Prince Edward Island - Hillsborough,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.45081675,-63.30064012
92006300,92006300,outlet,NICN910000000,Central Prince Edward Island - Hillsborough,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.44875717,-63.29572296
92006360,92006360,outlet,NICN910000000,Central Prince Edward Island - Wilmot,Prince Edward Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.44370149,-64.11802478
92006380,92006380,outlet,NICN910000000,Indian,Cape Breton Island,Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,46.44297573,-60.559123
